action,diff_key,description,query_string
fitness_2,3,the gaze is forward at the bottom of the deadlift,the gaze is forward at the bottom of the deadlift
fitness_2,4,the arms are in front of the body at the bottom of the deadlift,the arms are in front of the body at the bottom of the deadlift
fitness_2,5,there is a pause at the bottom of the deadlift,there is a pause at the bottom of the deadlift
fitness_2,6,the knees bend less at the bottom of the deadlift,the knees bend less at the bottom of the deadlift
fitness_2,7,the body is more locked out at the top of the deadlift,the body is more locked out at the top of the deadlift
fitness_2,8,the entire motion is faster,the entire motion is faster
fitness_2,9,the hands are lower at the bottom of the deadlift,the hands are lower at the bottom of the deadlift
fitness_3,0,the feet stance is wider,the feet stance is wider
fitness_3,1,the toes are more pointed out,the toes are more pointed out
fitness_3,2,the upper arms are parallel to the ground at the start of the motion,the upper arms are parallel to the ground at the start of the motion
fitness_3,3,the upper arms more stable through the entire motion,the upper arms more stable through the entire motion
fitness_3,4,the arms travel through the full range of motion,the arms travel through the full range of motion
fitness_3,5,the speed of the arms is faster,the speed of the arms is faster
fitness_4,0,the feet stance is wider,the feet stance is wider
fitness_4,1,the toes are more pointed out,the toes are more pointed out
fitness_4,2,"the squat is deeper, measured by angle of the thigh to the ground","the squat is deeper, measured by angle of the thigh to the ground"
fitness_4,3,"the knees are higher at the knee raise, measured by the angle of the thigh","the knees are higher at the knee raise, measured by the angle of the thigh"
fitness_4,4,the speed of the whole motion is faster,the speed of the whole motion is faster
fitness_5,0,the feet stance is wider,the feet stance is wider
fitness_5,1,"during the squat descent, the knees cave inwards, instead of tracking over the feet","during the squat descent, the knees cave inwards, instead of tracking over the feet"
fitness_5,2,"the squat is deeper, measured by angle of the thigh to the ground","the squat is deeper, measured by angle of the thigh to the ground"
fitness_5,3,the speed of the whole motion is faster,the speed of the whole motion is faster
fitness_5,4,they raise the left knee instead of the right knee,they raise the left knee instead of the right knee
fitness_6,0,the feet stance is wider,the feet stance is wider
fitness_6,1,the toes are more pointed out,the toes are more pointed out
fitness_6,2,the speed of hip rotation is faster,the speed of hip rotation is faster
fitness_6,3,the range of motion in the hips is larger,the range of motion in the hips is larger
fitness_6,4,the head remains more vertical during the rotation,the head remains more vertical during the rotation
fitness_6,5,the hand position is higher on the body,the hand position is higher on the body
fitness_6,6,The upper body rocks more in a forward-backward way,The upper body rocks more in a forward-backward way
fitness_7,0,the arms reach higher on the first step,arms at a higher angle
fitness_7,1,the arms reach higher on the second step,arms at a higher angle
fitness_7,10,the torso moves out further closer to the foot during the second step out,the torso moves out further closer to the foot
fitness_7,2,the arms are elevated in an uneven way on the first step,the arms are elevated in a more uneven way
fitness_7,3,the arms are elevated in an uneven way on the second step,the arms are elevated in a more uneven way
fitness_7,4,the first step out is wider,foot stance is wider
fitness_7,5,the second step out is wider,foot stance is wider
fitness_7,6,the toes are more pointed outwards on the first step out,the toes are more pointed outwards on the first step out
fitness_7,7,the toes are more pointed outwards on the second step out,the toes are more pointed outwards on the second step out
fitness_7,8,the motion is faster,the motion is faster
fitness_7,9,the torso moves out further closer to the foot during the first step out,the torso moves out further closer to the foot during
music_0,0,Rhythmic consistency is better maintained in Video A than in Video B.,more rhythmically consistent
music_0,1,There are more wrong note corrections in Video A than in Video B.,more corrections
music_0,2,"The wrist should be straight and not dipped or raised, facilitating fluid motion and avoiding strain. The wrist position is more appropriate in Video A than in Video B.",straighter wrist position with less dipping or raising
music_0,3,The speed of playing is higher in Video A than in Video B.,higher speed of playing
music_0,4,The smoothness of thumb crossing is more evident in Video A than in Video B.,smoother thumb crossing
music_0,5,Forearm movement is more controlled and minimal in Video A than in Video B.,more controlled forearm movement
music_0,6,The body is closer to the piano in Video A than in Video B.,body closer to the piano
music_1,0,"Fingers should press strings at the center of the frets, avoiding the metal fret bars for clear sound production. Video A shows more accurate finger placement on the fretboard than Video B.",more accurate finger placement
music_1,1,Smooth transitions between strings with minimal disruption to the rhythm or tempo. Transitions in Video A are smoother than in Video B.,smoother transitions between strings
music_1,2,The player uses a plectrum.,plectrum usage
music_1,3,The left fingers in Video A are more curved / less collapsed than in video B.,more finger curving
music_1,4,Only one finger of the left hands rests on a string at a time.,only one finger rests on a string at a time
music_1,5,The unused left finger tips in Video A stay closer to the board than in video B.,unused fingers stay closer to board
music_1,6,Guiatrist uses finger vibrato.,more finger vibrato usage
surgery_0,0,The movements in Video A are more efficient than in Video B.,movements are more efficient
surgery_0,1,The movements in Videos A are faster than in Video B.,movements are faster
surgery_0,2,The tension on the suturing material and the tissue is better controlled in Video A than in Video B.,the tension on the suturing material and the tissue is better controlled
surgery_0,3,The surgeon in Video A stops more often to plan next steps than the surgeon in Video B.,more interruptions
surgery_0,4,Both graspers are used efficiently.,the graspers are used more efficiently
surgery_0,5,The movements in Video A are more precise than in Video B.,the movement is more precise
surgery_0,6,More errors are corrected in Video A than in Video B.,more errors are corrected
surgery_0,7,The suturing thread tangles.,the suturing thread tangles
surgery_0,8,The tube in Video A moves more than in Video B.,more movement of the tube
surgery_1,0,The grasper in Video A is more quickly positioned on the needle than in Video B.,the grasper is positioned more quickly
surgery_1,1,The grasper grasps the needle approximately 2/3 from the needle tip. The needle is grasped more precisely in Video A than in Video B.,more accurate grasping of the needle
surgery_1,10,The suturing speed is higher in Video A than in Video B,the suturing speed is higher
surgery_1,2,The dot is more accurately hit in Video A than in Video B,the dot is targeted more accurately
surgery_1,3,The needle is inserted in the fabric more perpendicular to the incision.,insertion is more perpendicular to incision
surgery_1,4,The force is applied in a more radial way in Video A than in Video B.,the force on the needle is applied more radially
surgery_1,5,"The left graser supports the right grasper, by pressing down on the tissue.",left grasper supports by pressing on tissue
surgery_1,6,The movement is more fluid in Video A than in Video B.,more fluid movement
surgery_1,7,"The instrument tips are never out of view (occluded by instruments, or out of frame)",instrument tips are never out of view
surgery_1,8,The instrument applies more force to the tissue and needle in Video A than in Video B,the instrument applies more force on the tissue
surgery_1,9,The tension on the suturing thread is lower in Video A than in Video B.,the tension of the thread is lower
surgery_2,0,The needle is grasped closer to the tip in Video A than in video B.,grasping of needle closer to the tip
surgery_2,1,The movement of the needle through the hoop is more radial in Video A than in Video B.,the force on the needle is applied more radially
surgery_2,2,The passage of the needle between two hands is more fluid in Video A than in Video B.,more fluid needle passage
surgery_2,3,"The instrument tips are never out of view (occluded by instruments, or out of frame)",instrument tips are never out of view
surgery_2,4,The force on the target is lower in Video A than in Video B,less force is applied on the target
surgery_2,5,The second grasper is used to stabalize the target.,the second grasper stabilizes the target
surgery_2,6,The thread is more efficiently managed in Video A than in Video B.,more efficient thread management
surgery_2,7,The number of movements to arrange the needle before threading is lower in Video A than in Video B.,lower number of movements needed to arrange the needle
